id,Q3,Q3B1,Q3B2,Q3B3,Q4,Q4A01,Q4A02,Q4A03,Q4A04,Q4A05,Q4A06,Q4A07,Q4A08,Q4A09,Q4A10,Q4A11,Q4A12,Q4A13,Q4A14,Q4A15,Q4A16,Q4A17,Q4B1,Q4B2,Q4B3,Q5A01,Q5A02,Q5A03,Q5A04,Q5A05,Q5A06,Q5A07,Q5A08,Q5A09,Q5A10,Q5A11,Q5A12,Q5A13,Q5A14,Q5A15,Q5A16,Q5A17,Q2a1,Q2a2,RQ2A2,Q11A$01,ÃÑ¾×1ÀÎTOT,Q7,Q7_01,Q7_02,D_MON,D_MON_season,D_NAT,D_NAT_GROUP,D_SEX,D_AGE
289,2,13,,,1,1,2,3,4,5,6,,,,,,12,,,,,,4,5,6,1,,,,,,,,,,,,,,,,,30,31,12,,2271,5,1,1,1,4,13,2,1,2
312,1,5,4,,1,,2,3,4,5,6,,,,,,,,,,,,4,6,5,1,,,,,,,,,,,,,,,,,89,90,13,,10219.5,5,1,1,1,4,13,2,1,2
324,2,4,3,1,1,1,2,3,4,5,6,,,,,,,,,,,,2,3,4,1,,,,,,,,,,,,,,,,,29,30,11,1,785,5,1,1,1,4,2,1,1,2
327,1,13,11,,1,,2,,4,,6,,,,,,,,,,,,4,6,2,1,,,,,,,,,,,,,,,,,39,40,12,,2838.75,5,1,1,1,4,97,4,1,5
340,2,1,4,3,1,1,2,3,4,,6,,,,,,12,,,,,,1,4,3,1,1,,,,,,,,,,,,,,,,69,70,13,,2271,5,1,1,1,4,97,4,2,5
354,2,13,,,1,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,42,43,12,,2838.75,5,1,1,1,4,97,4,1,6
358,2,13,,,1,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,42,43,12,,2838.75,5,1,1,1,4,97,4,2,5
365,2,3,,,1,1,2,3,,,,,,,,,,,,,,,3,1,2,1,1,1,,,,,,,,,,1,,,,,41,42,12,1,2271,5,1,1,1,4,13,2,1,4
467,2,2,1,,1,1,2,,,,,,,,,,,,,,,,1,2,,,,1,,,,,,,,,,,,,,,59,60,12,,10000,5,1,1,1,4,14,2,2,5
471,2,4,6,2,1,1,2,3,,,,7,8,,,11,,,,,,,8,2,11,1,,1,,,,,,,,,,,,,,,35,36,12,1,3406.5,5,1,1,1,4,12,2,2,3
482,2,13,2,,1,,2,3,4,,,,,,,,,,,,,,2,4,3,,,,,,,,,,,1,,,,,,,120,121,14,,2244,5,1,1,1,4,19,1,2,3
